epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,1334.17,0.59523,0.52568,0.94787,0.9887,0.53846,0.70484,0.41687,1.5219,1.6431,1.40249,0.0002312,0.0002312,0.0002312
136,1344.1,0.55474,0.50167,0.93909,0.88826,0.6119,0.73717,0.43368,1.53138,1.50157,1.38732,0.000218,0.000218,0.000218
137,1353.99,0.56672,0.5252,0.95241,0.89465,0.6553,0.77253,0.4346,1.55418,1.49248,1.38586,0.0002048,0.0002048,0.0002048
138,1363.95,0.57216,0.46787,0.92443,0.89698,0.67137,0.78314,0.44491,1.5805,1.45948,1.38663,0.0001916,0.0001916,0.0001916
139,1373.77,0.51939,0.46369,0.93076,0.89901,0.69231,0.78458,0.44683,1.58726,1.48226,1.37794,0.0001784,0.0001784,0.0001784
140,1383.63,0.57915,0.49903,0.97184,0.74136,0.66308,0.78317,0.43374,1.58054,1.52132,1.34979,0.0001652,0.0001652,0.0001652
141,1393.53,0.48393,0.44772,0.86765,0.84974,0.61538,0.83388,0.44232,1.57506,1.4895,1.36001,0.000152,0.000152,0.000152
142,1403.4,0.45833,0.47498,0.85757,0.97469,0.53846,0.79971,0.44577,1.5162,1.48581,1.33589,0.0001388,0.0001388,0.0001388
143,1414.32,0.44564,0.48459,0.85173,0.98708,0.53846,0.81328,0.47117,1.51396,1.45291,1.35259,0.0001256,0.0001256,0.0001256
144,1424.94,0.45039,0.4134,0.84958,0.73033,0.61538,0.81269,0.46539,1.56479,1.59076,1.40778,0.0001124,0.0001124,0.0001124
145,1434.28,0.45091,0.4231,0.84424,0.74249,0.61538,0.80487,0.4582,1.57156,1.63134,1.41446,9.92e-05,9.92e-05,9.92e-05
146,1443.46,0.45656,0.42856,0.85508,0.81353,0.67263,0.80622,0.43495,1.58811,1.6408,1.42552,8.6e-05,8.6e-05,8.6e-05
147,1452.61,0.44502,0.41942,0.84957,0.81334,0.67183,0.80579,0.43501,1.58709,1.63241,1.42698,7.28e-05,7.28e-05,7.28e-05
148,1461.78,0.43674,0.43413,0.83502,0.81326,0.6715,0.81799,0.43594,1.57436,1.58804,1.41811,5.96e-05,5.96e-05,5.96e-05
149,1470.61,0.41573,0.41046,0.86488,0.81366,0.67318,0.82692,0.4452,1.56958,1.51866,1.40161,4.64e-05,4.64e-05,4.64e-05
150,1480.22,0.43434,0.41549,0.8604,0.81616,0.68377,0.83357,0.43141,1.5683,1.49629,1.40342,3.32e-05,3.32e-05,3.32e-05
